"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","77.42","77.53","77.79","77.00","25.83K","-0.45%"
"Aug 30, 2018","77.77","77.33","78.03","77.18","90.22K","0.82%"
"Aug 29, 2018","77.14","75.99","77.42","75.67","130.44K","1.57%"
"Aug 28, 2018","75.95","76.34","76.97","75.73","179.66K","-0.34%"
"Aug 27, 2018","76.21","75.54","76.34","75.39","101.08K","0.51%"
"Aug 24, 2018","75.82","74.73","76.42","74.68","235.09K","1.46%"
"Aug 23, 2018","74.73","74.72","74.87","74.21","199.66K","-0.07%"
"Aug 22, 2018","74.78","72.76","75.00","72.70","300.69K","2.96%"
"Aug 21, 2018","72.63","72.15","72.95","72.05","201.24K","0.58%"
"Aug 20, 2018","72.21","71.77","72.75","71.42","249.10K","0.53%"
"Aug 17, 2018","71.83","71.35","72.49","71.25","217.16K","0.56%"
"Aug 16, 2018","71.43","70.65","71.52","70.40","227.20K","0.95%"
"Aug 15, 2018","70.76","72.22","72.44","70.30","298.11K","-2.35%"
"Aug 14, 2018","72.46","72.82","73.93","72.16","242.75K","-0.21%"
"Aug 13, 2018","72.61","73.00","73.09","71.04","220.34K","-0.27%"
"Aug 10, 2018","72.81","71.97","73.14","71.40","228.74K","1.03%"
"Aug 09, 2018","72.07","72.16","72.89","71.86","197.06K","-0.29%"
"Aug 08, 2018","72.28","74.64","74.87","71.65","269.51K","-3.17%"
"Aug 07, 2018","74.65","73.61","74.90","73.57","228.99K","1.22%"
"Aug 06, 2018","73.75","73.21","74.47","73.08","200.58K","0.74%"
"Aug 03, 2018","73.21","73.37","73.73","72.48","175.36K","-0.33%"
"Aug 02, 2018","73.45","72.42","73.75","71.84","226.45K","1.46%"
"Aug 01, 2018","72.39","74.07","74.12","72.13","284.02K","-2.51%"
"Jul 31, 2018","74.25","74.93","75.10","74.14","21.88K","-0.96%"
"Jul 30, 2018","74.97","74.31","75.27","74.14","81.03K","0.92%"
"Jul 27, 2018","74.29","74.50","74.85","73.83","119.34K","-0.34%"
"Jul 26, 2018","74.54","74.37","74.83","73.77","183.35K","0.83%"
"Jul 25, 2018","73.93","73.70","74.60","73.07","210.87K","0.67%"
"Jul 24, 2018","73.44","72.91","74.00","72.68","215.15K","0.52%"
"Jul 23, 2018","73.06","73.22","74.50","72.52","316.98K","-0.01%"
"Jul 20, 2018","73.07","72.65","73.47","72.26","231.51K","0.68%"
"Jul 19, 2018","72.58","73.06","73.79","71.83","313.81K","-0.44%"
"Jul 18, 2018","72.90","71.74","73.28","71.19","287.11K","1.03%"
"Jul 17, 2018","72.16","72.01","72.78","71.35","286.44K","0.45%"
"Jul 16, 2018","71.84","74.92","75.37","71.52","330.00K","-4.63%"
"Jul 13, 2018","75.33","74.34","75.93","73.22","302.43K","1.18%"
